Latitude,Longitude
41.94050159,-87.677107624
41.885753285,-87.626996239
41.762701561,-87.628101855
41.882891622,-87.662799131
41.892485711,-87.627127745
41.751170393,-87.611810106
41.884109918,-87.770609497
41.975618213,-87.785783749
41.736345248,-87.623198545
41.903996883,-87.643230238
41.778980114,-87.615597389
41.893848139,-87.759296014
41.674577945,-87.54000407
41.749413676,-87.66341677
41.805126734,-87.608894322
41.933150963,-87.71183582
41.768686795,-87.65451385
41.946589887,-87.710911313
41.88099198,-87.704402338
41.698729423,-87.560751336
41.761660944,-87.696618243
41.992485148,-87.677122019
41.75858693,-87.605078455
41.868180939,-87.709271389
41.894480568,-87.706525192
41.891791478,-87.620917415
41.856810086,-87.657616904
41.909478881,-87.757561575
41.780948263,-87.692739048
41.698952603,-87.622101432
41.873403192,-87.710777396
41.862842099,-87.702010464
41.856810086,-87.657616904
41.888000869,-87.763296356
41.86975858,-87.624121338
41.895969036,-87.637160727
41.761719946,-87.603195705
41.778754713,-87.617297398
41.785676014,-87.688695286
41.910586452,-87.670834275
41.877896435,-87.624310435
41.799275367,-87.582312425
41.790666463,-87.710830541
41.795319727,-87.660976952
41.750940757,-87.625185222
41.896714548,-87.625340136
41.972433925,-87.76413644
41.784399043,-87.663126037
41.776832515,-87.683577859
41.71818309,-87.559815111
41.791130303,-87.710840721
41.931044035,-87.800986486
41.71818309,-87.559815111
41.863824331,-87.671269516
41.774319025,-87.605795029
41.773348654,-87.680918515
41.773348654,-87.680918515
41.868219921,-87.664046556
41.850149532,-87.727416865
41.942099927,-87.668729139
41.997425544,-87.707245033
41.854432638,-87.721077646
41.855777864,-87.71758499
41.872274452,-87.764581664
41.73854507,-87.69355268
41.894154031,-87.718715064
41.893469034,-87.632648229
41.891791478,-87.620917415
41.895226353,-87.634164316
41.891465732,-87.624153044
41.901437805,-87.721389186
42.012773109,-87.69024512
41.89429596,-87.66455671
41.706204287,-87.699685293
41.897544957,-87.626499005
41.845407198,-87.640491086
41.691413679,-87.668826246
41.855952514,-87.719965607
41.895226353,-87.634164316
41.882191965,-87.633836392
41.954465072,-87.698254192
41.97297308,-87.692521131
41.882179098,-87.680110034
41.931354176,-87.686616821
41.878892943,-87.723800197
41.960858577,-87.735994826
41.953443342,-87.744957048
41.939315143,-87.70942733
41.878556485,-87.664342629
41.893469034,-87.632648229
41.883560565,-87.736799822
41.925078949,-87.673734337
41.908242555,-87.753461804
41.894077758,-87.744484835
41.891791478,-87.620917415
41.859768812,-87.721327763
41.954483453,-87.705588348
41.876747617,-87.688742906
41.88233367,-87.627841791
41.980404415,-87.69548453
41.940330446,-87.814159627
41.936778413,-87.648106932
41.865191542,-87.723923014
41.913190415,-87.68181094
41.903775756,-87.639324074
41.908763188,-87.652352211
41.751292803,-87.604680828
41.818077373,-87.689603072
41.872161976,-87.632972778
41.80462016,-87.684368169
41.891062111,-87.617043461
41.751615344,-87.665900572
41.879202837,-87.626113652
41.742045309,-87.610893622
41.881722193,-87.624356274
41.758991698,-87.566072806
41.881546939,-87.626197968
41.911151209,-87.63598179
41.740096341,-87.596123509
41.866472663,-87.639221031
41.89804054,-87.624091323
41.93856642,-87.767234734
41.977297784,-87.659893615
41.810693516,-87.683929054
41.939315143,-87.70942733
41.658011951,-87.597587374
41.909240284,-87.65274758
41.751438029,-87.675602996
42.016353627,-87.684280696
41.812238045,-87.618234152
41.818585099,-87.694524884
41.827206648,-87.63812269
41.820248497,-87.616020877
42.017040425,-87.677653464
41.90502111,-87.648376825
41.896083132,-87.629765732
41.909446887,-87.759942472
41.862405884,-87.714639603
41.94387111,-87.816729665
41.872709056,-87.624187857
42.004335129,-87.81085809
41.927617255,-87.705032324
41.812610526,-87.723765071
41.77801062,-87.605877958
41.868219921,-87.664046556
41.891025527,-87.619100589
41.903630157,-87.648439447
41.83686224,-87.725942261
41.780757209,-87.771605682
41.756064436,-87.632356295
41.70956715,-87.681717643
41.903996883,-87.643230238
41.758171386,-87.628657244
41.933176327,-87.799219387
41.807664217,-87.671019116
41.769417774,-87.569856281
41.771648413,-87.574756784
41.77999793,-87.629294594
41.875081631,-87.63069009
41.929356377,-87.704901336
41.845155477,-87.625314316
41.853928683,-87.634695027
41.739059483,-87.675304295
41.86723004,-87.641489077
41.9643316,-87.648326536
41.862419531,-87.713607897
41.736940053,-87.550034589
41.970773739,-87.72198362
41.917175212,-87.725894098
41.956338084,-87.74061057
41.856294972,-87.62229526
41.881891126,-87.73873591
41.796389591,-87.69753617
41.881847601,-87.641772074
41.972364558,-87.656304974
41.75089628,-87.627769334
41.891135724,-87.628049777
41.90254141,-87.629944625
41.6780387,-87.621764363
41.898920336,-87.732109503
41.886093334,-87.630984425
41.735665351,-87.672059795
41.762216688,-87.606228653
41.953443342,-87.744957048
41.851804072,-87.68563492
41.947225886,-87.655545441
41.773647764,-87.691634906
41.968234567,-87.728571616
41.764528868,-87.633422463
41.910857665,-87.651995629
41.952389116,-87.720221957
